epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,epoch_time_seconds,total_elapsed_seconds,best_updated,record_type,is_best_epoch,selection_metric,best_val_loss,best_val_mae,best_val_mad,test_loss,test_mae,test_mad
1,0.5351786056441528,0.5508058835212847,9.722577095031738,9.96138858795166,7.6806640625,7.7890625,9.722577095031738,9.96138858795166,7.6806640625,7.7890625,9.722577095031738,9.96138858795166,7.6806640625,7.7890625,0.00011666666666666667,0.00018333333333333336,True,273.56201735,277.27752041499997,True,epoch,False,mae,,,,,,
2,0.5256104323435646,0.5540538529694331,9.599337577819824,9.988447189331055,7.564453125,7.962890625,9.599337577819824,9.988447189331055,7.564453125,7.962890625,9.599337577819824,9.988447189331055,7.564453125,7.962890625,0.00018333333333333336,0.00025,True,219.623357891,496.902367319,False,epoch,False,mae,,,,,,
3,0.5224695904314398,0.5485804088486863,9.562771797180176,9.919279098510742,7.5419921875,7.7578125,9.562771797180176,9.919279098510742,7.5419921875,7.7578125,9.562771797180176,9.919279098510742,7.5419921875,7.7578125,0.00025,0.00024997202599558773,True,219.87407432200007,716.781444404,True,epoch,False,mae,,,,,,
4,0.5198649822569267,0.5461851610876568,9.518927574157715,9.87501335144043,7.5400390625,7.83984375,9.518927574157715,9.87501335144043,7.5400390625,7.83984375,9.518927574157715,9.87501335144043,7.5400390625,7.83984375,0.00024997202599558773,0.0002498881167585945,True,228.333511702,945.116605638,True,epoch,False,mae,,,,,,
5,0.5179878744221932,0.5493525684632226,9.495715141296387,9.929147720336914,7.4296875,8.224609375,9.495715141296387,9.929147720336914,7.4296875,8.224609375,9.495715141296387,9.929147720336914,7.4296875,8.224609375,0.0002498881167585945,0.0002497483106119162,True,234.27170112,1179.389930682,False,epoch,False,mae,,,,,,
6,0.5157828474116443,0.5477714113901574,9.465922355651855,9.920628547668457,7.353515625,7.861328125,9.465922355651855,9.920628547668457,7.353515625,7.861328125,9.465922355651855,9.920628547668457,7.353515625,7.861328125,0.0002497483106119162,0.0002495526714075978,True,239.72629055700008,1419.1208371540001,False,epoch,False,mae,,,,,,
7,0.5159482680433458,0.5490940279245042,9.469239234924316,9.934672355651855,7.453125,8.079345703125,9.469239234924316,9.934672355651855,7.453125,8.079345703125,9.469239234924316,9.934672355651855,7.453125,8.079345703125,0.0002495526714075978,0.00024930128849767156,True,242.27567530200008,1661.402509521,False,epoch,False,mae,,,,,,
8,0.5159698024139749,0.5533046137233268,9.477802276611328,9.999939918518066,7.37890625,7.7021484375,9.477802276611328,9.999939918518066,7.37890625,7.7021484375,9.477802276611328,9.999939918518066,7.37890625,7.7021484375,0.00024930128849767156,0.00024899427669334764,True,242.4866534700002,1903.895268705,False,epoch,False,mae,,,,,,
9,0.5140041238057594,0.5483269246731366,9.45512580871582,9.92514419555664,7.35546875,7.87890625,9.45512580871582,9.92514419555664,7.35546875,7.87890625,9.45512580871582,9.92514419555664,7.35546875,7.87890625,0.00024899427669334764,0.00024863177621257823,True,241.902170801,2145.804865238,False,epoch,False,mae,,,,,,
10,0.5132125832901651,0.5441068243679459,9.434499740600586,9.841507911682129,7.287109375,8.0234375,9.434499740600586,9.841507911682129,7.287109375,8.0234375,9.434499740600586,9.841507911682129,7.287109375,8.0234375,0.00024863177621257823,0.00024821395261601716,True,241.42117159500003,2387.233978583,True,epoch,False,mae,,,,,,
11,0.5127634096071816,0.5424680788420025,9.427495956420898,9.841001510620117,7.353515625,7.83203125,9.427495956420898,9.841001510620117,7.353515625,7.83203125,9.427495956420898,9.841001510620117,7.353515625,7.83203125,0.00024821395261601716,0.00024774099673140546,True,242.55418762,2629.790260923,False,epoch,False,mae,,,,,,
12,0.5083891593965975,0.5553779063686248,9.354988098144531,10.01535701751709,7.2734375,7.76171875,9.354988098144531,10.01535701751709,7.2734375,7.76171875,9.354988098144531,10.01535701751709,7.2734375,7.76171875,0.00024774099673140546,0.00024721312456641657,True,241.258602505,2871.050990755,False,epoch,False,mae,,,,,,
13,0.5045258395660122,0.534034167566607,9.30833911895752,9.748825073242188,7.2392578125,8.14501953125,9.30833911895752,9.748825073242188,7.2392578125,8.14501953125,9.30833911895752,9.748825073242188,7.2392578125,8.14501953125,0.00024721312456641657,0.0002466305772100019,True,240.7799271849999,3111.83677882,True,epoch,False,mae,,,,,,
14,0.4954289500558339,0.5261475456379573,9.177106857299805,9.626981735229492,7.083984375,7.47265625,9.177106857299805,9.626981735229492,7.083984375,7.47265625,9.177106857299805,9.626981735229492,7.083984375,7.47265625,0.0002466305772100019,0.000245993620722281,True,241.0649454610002,3352.903735621,True,epoch,False,mae,,,,,,
15,0.48557189388627714,0.5064048397591204,9.03725814819336,9.3711576461792,7.052978515625,7.390625,9.03725814819336,9.3711576461792,7.052978515625,7.390625,9.03725814819336,9.3711576461792,7.052978515625,7.390625,0.000245993620722281,0.0002453025460130268,True,242.68430829999988,3595.593540098,True,epoch,False,mae,,,,,,
16,0.4718468916196898,0.5161702838552616,8.862143516540527,9.528552055358887,6.9375,7.53125,8.862143516540527,9.528552055358887,6.9375,7.53125,8.862143516540527,9.528552055358887,6.9375,7.53125,0.0002453025460130268,0.00024455766870880205,True,242.6875265499998,3838.283479451,False,epoch,False,mae,,,,,,
17,0.4675346305001913,0.4919961612321551,8.811627388000488,9.150996208190918,6.984375,7.271484375,8.811627388000488,9.150996208190918,6.984375,7.271484375,8.811627388000488,9.150996208190918,6.984375,7.271484375,0.00024455766870880205,0.00024375932900880674,True,242.1626379610002,4080.451921491,True,epoch,False,mae,,,,,,
18,0.4570457644528584,0.5087156933621304,8.659746170043945,9.345733642578125,6.91796875,7.71484375,8.659746170043945,9.345733642578125,6.91796875,7.71484375,8.659746170043945,9.345733642578125,6.91796875,7.71484375,0.00024375932900880674,0.00024290789152950267,True,241.83774608900058,4322.291628581999,False,epoch,False,mae,,,,,,
