epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,epoch_time_seconds,total_elapsed_seconds,best_updated
1,0.538753976491474,0.5548890539840763,9.782015800476074,10.017545700073242,7.681640625,7.8916015625,9.782015800476074,10.017545700073242,7.681640625,7.8916015625,9.782015800476074,10.017545700073242,7.681640625,7.8916015625,0.00011666666666666667,0.00018333333333333336,True,285.899335282,291.045578345,True
2,0.5265578048745045,0.5526111664310578,9.613906860351562,9.98073959350586,7.5634765625,7.6708984375,9.613906860351562,9.98073959350586,7.5634765625,7.6708984375,9.613906860351562,9.98073959350586,7.5634765625,7.6708984375,0.00018333333333333336,0.00025,True,235.82573384199998,526.874394901,True
3,0.5229743881925515,0.551116204696484,9.567909240722656,9.966232299804688,7.478515625,7.8681640625,9.567909240722656,9.966232299804688,7.478515625,7.8681640625,9.567909240722656,9.966232299804688,7.478515625,7.8681640625,0.00025,0.00024997202599558773,True,232.50898057899997,759.385129383,True
4,0.5192034306302138,0.5531090270586803,9.511859893798828,9.988149642944336,7.455078125,7.76953125,9.511859893798828,9.988149642944336,7.455078125,7.76953125,9.511859893798828,9.988149642944336,7.455078125,7.76953125,0.00024997202599558773,0.0002498881167585945,True,234.78007157700006,994.167040985,False
5,0.519018278262683,0.549111475282431,9.51066780090332,9.936882972717285,7.421875,7.9765625,9.51066780090332,9.936882972717285,7.421875,7.9765625,9.51066780090332,9.936882972717285,7.421875,7.9765625,0.0002498881167585945,0.0002497483106119162,True,229.60217239100007,1223.775675249,True
6,0.5183194451830553,0.5500458293342323,9.50277328491211,9.950885772705078,7.421875,8.080078125,9.50277328491211,9.950885772705078,7.421875,8.080078125,9.50277328491211,9.950885772705078,7.421875,8.080078125,0.0002497483106119162,0.0002495526714075978,True,229.52166982199992,1453.299815467,False
7,0.5171037728919767,0.551943181106118,9.494000434875488,9.967930793762207,7.4296875,8.103515625,9.494000434875488,9.967930793762207,7.4296875,8.103515625,9.494000434875488,9.967930793762207,7.4296875,8.103515625,0.0002495526714075978,0.00024930128849767156,True,230.65744099500012,1683.964385153,False
8,0.5176635728119457,0.5474746280766469,9.495959281921387,9.904149055480957,7.447265625,7.859375,9.495959281921387,9.904149055480957,7.447265625,7.859375,9.495959281921387,9.904149055480957,7.447265625,7.859375,0.00024930128849767156,0.00024899427669334764,True,231.53254289000006,1915.503070005,True
9,0.515763105476213,0.5504069448687753,9.471795082092285,9.965632438659668,7.34375,7.845703125,9.471795082092285,9.965632438659668,7.34375,7.845703125,9.471795082092285,9.965632438659668,7.34375,7.845703125,0.00024899427669334764,0.00024863177621257823,True,243.78155282700027,2159.28629795,False
10,0.5158762688373872,0.5511509265337886,9.470308303833008,9.974831581115723,7.2890625,7.88671875,9.470308303833008,9.974831581115723,7.2890625,7.88671875,9.470308303833008,9.974831581115723,7.2890625,7.88671875,0.00024863177621257823,0.00024821395261601716,True,230.83455412600006,2390.169313624,False
11,0.5143370943151088,0.5496715089883577,9.444226264953613,9.936058044433594,7.293701171875,8.0078125,9.444226264953613,9.936058044433594,7.293701171875,8.0078125,9.444226264953613,9.936058044433594,7.293701171875,8.0078125,0.00024821395261601716,0.00024774099673140546,True,225.9321446849999,2616.112092675,False
12,0.5148253623003344,0.5505996379076515,9.45612621307373,9.965568542480469,7.310546875,7.8486328125,9.45612621307373,9.965568542480469,7.310546875,7.8486328125,9.45612621307373,9.965568542480469,7.310546875,7.8486328125,0.00024774099673140546,0.00024721312456641657,True,223.9199147620002,2840.0448531740003,False
13,0.5142603888035776,0.5484194722115409,9.453941345214844,9.94055461883545,7.39453125,7.875732421875,9.453941345214844,9.94055461883545,7.39453125,7.875732421875,9.453941345214844,9.94055461883545,7.39453125,7.875732421875,0.00024721312456641657,0.0002466305772100019,True,234.87809614399976,3074.9330229790003,False
14,0.5141247721496468,0.5537569663300588,9.456120491027832,10.000511169433594,7.31640625,8.1064453125,9.456120491027832,10.000511169433594,7.31640625,8.1064453125,9.456120491027832,10.000511169433594,7.31640625,8.1064453125,0.0002466305772100019,0.000245993620722281,True,230.9772948760001,3305.921259384,False
15,0.5125469193717339,0.5489105601464549,9.419893264770508,9.94874095916748,7.362060546875,7.76953125,9.419893264770508,9.94874095916748,7.362060546875,7.76953125,9.419893264770508,9.94874095916748,7.362060546875,7.76953125,0.000245993620722281,0.0002453025460130268,True,232.12227891300017,3538.051576507,False
16,0.5120267692625664,0.5500506069014818,9.423008918762207,9.965204238891602,7.292724609375,7.723876953125,9.423008918762207,9.965204238891602,7.292724609375,7.723876953125,9.423008918762207,9.965204238891602,7.292724609375,7.723876953125,0.0002453025460130268,0.00024455766870880205,True,232.76502248299994,3770.82152076,False
17,0.5114179434367725,0.5495681831244834,9.400740623474121,9.930206298828125,7.256591796875,7.98046875,9.400740623474121,9.930206298828125,7.256591796875,7.98046875,9.400740623474121,9.930206298828125,7.256591796875,7.98046875,0.00024455766870880205,0.00024375932900880674,True,232.63106293700002,4003.458937759,False
