epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran
1,0.5345709407140683,0.5527884797996425,9.714071273803711,9.983216285705566,7.6494140625,7.92578125,9.714071273803711,9.983216285705566,7.6494140625,7.92578125,9.714071273803711,9.983216285705566,7.6494140625,7.92578125,0.00011666666666666667,0.00018333333333333336,True
2,0.5251749550964072,0.5543307024165256,9.591981887817383,9.980607986450195,7.587890625,7.861572265625,9.591981887817383,9.980607986450195,7.587890625,7.861572265625,9.591981887817383,9.980607986450195,7.587890625,7.861572265625,0.00018333333333333336,0.00025,True
3,0.5216340855987882,0.548201274403683,9.556180000305176,9.911036491394043,7.4658203125,7.7734375,9.556180000305176,9.911036491394043,7.4658203125,7.7734375,9.556180000305176,9.911036491394043,7.4658203125,7.7734375,0.00025,0.0002495586923464595,True
4,0.5185049260830623,0.5469477626417998,9.50387954711914,9.88595962524414,7.55859375,7.921875,9.50387954711914,9.88595962524414,7.55859375,7.921875,9.50387954711914,9.88595962524414,7.55859375,7.921875,0.0002495586923464595,0.0002482379490175943,True
5,0.5165446816116404,0.5509884130068614,9.479772567749023,9.94846248626709,7.4609375,8.009765625,9.479772567749023,9.94846248626709,7.4609375,8.009765625,9.479772567749023,9.94846248626709,7.4609375,8.009765625,0.0002482379490175943,0.0002460472859993536,True
6,0.5148618308556925,0.5455164675291256,9.45893669128418,9.884403228759766,7.359375,7.802734375,9.45893669128418,9.884403228759766,7.359375,7.802734375,9.45893669128418,9.884403228759766,7.359375,7.802734375,0.0002460472859993536,0.00024300248706898278,True
7,0.5148302403722516,0.5492752285525307,9.462532997131348,9.948785781860352,7.4296875,7.76953125,9.462532997131348,9.948785781860352,7.4296875,7.76953125,9.462532997131348,9.948785781860352,7.4296875,7.76953125,0.00024300248706898278,0.00023912549007254662,True
8,0.5139180841482396,0.5511488613540628,9.455537796020508,9.963682174682617,7.3662109375,7.5546875,9.455537796020508,9.963682174682617,7.3662109375,7.5546875,9.455537796020508,9.963682174682617,7.3662109375,7.5546875,0.00023912549007254662,0.00023444422886224553,True
9,0.5129539790407076,0.5470379672913197,9.435026168823242,9.907581329345703,7.28125,7.671875,9.435026168823242,9.907581329345703,7.28125,7.671875,9.435026168823242,9.907581329345703,7.28125,7.671875,0.00023444422886224553,0.00022899243203237065,True
10,0.5119105083024951,0.5420467433889317,9.41553783416748,9.82343578338623,7.318359375,7.85693359375,9.41553783416748,9.82343578338623,7.318359375,7.85693359375,9.41553783416748,9.82343578338623,7.318359375,7.85693359375,0.00022899243203237065,0.0002228093799040088,True
11,0.5109561425244477,0.5398544230267176,9.402099609375,9.79776668548584,7.3828125,7.92578125,9.402099609375,9.79776668548584,7.3828125,7.92578125,9.402099609375,9.79776668548584,7.3828125,7.92578125,0.0002228093799040088,0.00021593962150942922,True
12,0.5065843415480671,0.5469473774269286,9.334161758422852,9.901774406433105,7.23828125,7.4541015625,9.334161758422852,9.901774406433105,7.23828125,7.4541015625,9.334161758422852,9.901774406433105,7.23828125,7.4541015625,0.00021593962150942922,0.0002084326536152849,True
13,0.5030097169121461,0.5401647975367885,9.2824068069458,9.820906639099121,7.224609375,7.7421875,9.2824068069458,9.820906639099121,7.224609375,7.7421875,9.2824068069458,9.820906639099121,7.224609375,7.7421875,0.0002084326536152849,0.00020034256409727505,True
14,0.49719784661864264,0.5358242344889701,9.206981658935547,9.762412071228027,7.0869140625,7.703125,9.206981658935547,9.762412071228027,7.0869140625,7.703125,9.206981658935547,9.762412071228027,7.0869140625,7.703125,0.00020034256409727505,0.00019172764223576085,True
15,0.49677454527556364,0.5303700573815537,9.194364547729492,9.666101455688477,7.181396484375,7.375,9.194364547729492,9.666101455688477,7.181396484375,7.375,9.194364547729492,9.666101455688477,7.181396484375,7.375,0.00019172764223576085,0.00018264995874016493,True
16,0.49182078194404383,0.5259707686275787,9.133362770080566,9.621878623962402,7.15625,7.5302734375,9.133362770080566,9.621878623962402,7.15625,7.5302734375,9.133362770080566,9.621878623962402,7.15625,7.5302734375,0.00018264995874016493,0.00017317491852808777,True
17,0.49111035063474734,0.5280747569125631,9.128386497497559,9.659590721130371,7.09375,7.2578125,9.128386497497559,9.659590721130371,7.09375,7.2578125,9.128386497497559,9.659590721130371,7.09375,7.2578125,0.00017317491852808777,0.00016337078948137738,True
18,0.48513232881450585,0.5292221607031695,9.05258846282959,9.71213150024414,7.1171875,7.692138671875,9.05258846282959,9.71213150024414,7.1171875,7.692138671875,9.05258846282959,9.71213150024414,7.1171875,7.692138671875,0.00016337078948137738,0.00015330821057447648,True
19,0.47854284960874943,0.5217801509699347,8.96409797668457,9.588157653808594,6.9921875,7.611328125,8.96409797668457,9.588157653808594,6.9921875,7.611328125,8.96409797668457,9.588157653808594,6.9921875,7.611328125,0.00015330821057447648,0.00014305968291899264,True
20,0.4794112259932195,0.5172652236876949,8.965042114257812,9.498229026794434,7.033203125,7.859375,8.965042114257812,9.498229026794434,7.033203125,7.859375,8.965042114257812,9.498229026794434,7.033203125,7.859375,0.00014305968291899264,0.00013269904739152819,True
21,0.4710352404578703,0.5137794397322025,8.847853660583496,9.486504554748535,6.890625,7.64453125,8.847853660583496,9.486504554748535,6.890625,7.64453125,8.847853660583496,9.486504554748535,6.890625,7.64453125,0.00013269904739152819,0.00012230095260847186,True
22,0.4680258147683089,0.5141251262742373,8.82186508178711,9.47956657409668,6.96875,8.0546875,8.82186508178711,9.47956657409668,6.96875,8.0546875,8.82186508178711,9.47956657409668,6.96875,8.0546875,0.00012230095260847186,0.00011194031708100735,True
23,0.46443258700551415,0.5074370241767059,8.762454986572266,9.389862060546875,6.79296875,7.6572265625,8.762454986572266,9.389862060546875,6.79296875,7.6572265625,8.762454986572266,9.389862060546875,6.79296875,7.6572265625,0.00011194031708100735,0.00010169178942552354,True
24,0.4566141884197978,0.5027457383705557,8.670269012451172,9.292718887329102,6.81640625,7.486328125,8.670269012451172,9.292718887329102,6.81640625,7.486328125,8.670269012451172,9.292718887329102,6.81640625,7.486328125,0.00010169178942552354,9.162921051862262e-05,True
25,0.4553932843692879,0.4937440232173925,8.631048202514648,9.20634651184082,6.75390625,7.4765625,8.631048202514648,9.20634651184082,6.75390625,7.4765625,8.631048202514648,9.20634651184082,6.75390625,7.4765625,9.162921051862262e-05,8.182508147191222e-05,True
26,0.4474763515661636,0.5000811281913126,8.510482788085938,9.281688690185547,6.6640625,7.52734375,8.510482788085938,9.281688690185547,6.6640625,7.52734375,8.510482788085938,9.281688690185547,6.6640625,7.52734375,8.182508147191222e-05,7.235004125983502e-05,True
27,0.4468625980340985,0.49163819479574494,8.514419555664062,9.166230201721191,6.6796875,7.52734375,8.514419555664062,9.166230201721191,6.6796875,7.52734375,8.514419555664062,9.166230201721191,6.6796875,7.52734375,7.235004125983502e-05,6.327235776423916e-05,True
28,0.4418886232611651,0.49651040803500013,8.4502592086792,9.232680320739746,6.5703125,7.89453125,8.4502592086792,9.232680320739746,6.5703125,7.89453125,8.4502592086792,9.232680320739746,6.5703125,7.89453125,6.327235776423916e-05,5.4657435902724915e-05,True
29,0.44020870973277537,0.49466876311522884,8.423949241638184,9.197535514831543,6.62890625,7.443115234375,8.423949241638184,9.197535514831543,6.62890625,7.443115234375,8.423949241638184,9.197535514831543,6.62890625,7.443115234375,5.4657435902724915e-05,4.656734638471506e-05,True
30,0.43829041579407524,0.48399557171162183,8.385455131530762,9.05955982208252,6.5087890625,7.59375,8.385455131530762,9.05955982208252,6.5087890625,7.59375,8.385455131530762,9.05955982208252,6.5087890625,7.59375,4.656734638471506e-05,3.9060378490570776e-05,True
31,0.43051197187558826,0.48925979508591233,8.290351867675781,9.162060737609863,6.44140625,7.75,8.290351867675781,9.162060737609863,6.44140625,7.75,8.290351867675781,9.162060737609863,6.44140625,7.75,3.9060378490570776e-05,3.219062009599116e-05,True
32,0.4334187215956329,0.4888948227212272,8.319955825805664,9.124520301818848,6.57421875,7.439453125,8.319955825805664,9.124520301818848,6.57421875,7.439453125,8.319955825805664,9.124520301818848,6.57421875,7.439453125,3.219062009599116e-05,2.6007567967629356e-05,True
33,0.4302743469468233,0.4801799237811716,8.278698921203613,8.998558044433594,6.4375,7.4951171875,8.278698921203613,8.998558044433594,6.4375,7.4951171875,8.278698921203613,8.998558044433594,6.4375,7.4951171875,2.6007567967629356e-05,2.0555771137754487e-05,True
34,0.4259029349610359,0.4861328478113632,8.22836685180664,9.094771385192871,6.3515625,7.4833984375,8.22836685180664,9.094771385192871,6.3515625,7.4833984375,8.22836685180664,9.094771385192871,6.3515625,7.4833984375,2.0555771137754487e-05,1.5874509927453396e-05,True
35,0.4252752380235624,0.4802745670957953,8.210917472839355,9.001734733581543,6.439453125,7.6015625,8.210917472839355,9.001734733581543,6.439453125,7.6015625,8.210917472839355,9.001734733581543,6.439453125,7.6015625,1.5874509927453396e-05,1.1997512931017188e-05,True
36,0.42865191785131207,0.4787604001260573,8.256091117858887,8.982884407043457,6.5078125,7.4375,8.256091117858887,8.982884407043457,6.5078125,7.4375,8.256091117858887,8.982884407043457,6.5078125,7.4375,1.1997512931017188e-05,8.95271400064639e-06,True
37,0.42699907134463283,0.4783446850649605,8.23527717590332,8.970030784606934,6.486328125,7.35546875,8.23527717590332,8.970030784606934,6.486328125,7.35546875,8.23527717590332,8.970030784606934,6.486328125,7.35546875,8.95271400064639e-06,6.762050982405715e-06,True
38,0.42169004855662223,0.47984427757049175,8.154325485229492,9.011561393737793,6.33984375,7.3046875,8.154325485229492,9.011561393737793,6.33984375,7.3046875,8.154325485229492,9.011561393737793,6.33984375,7.3046875,6.762050982405715e-06,5.4413076535405015e-06,True
39,0.42830112530893805,0.47863962172124364,8.24043083190918,8.99837875366211,6.3984375,7.39013671875,8.24043083190918,8.99837875366211,6.3984375,7.39013671875,8.24043083190918,8.99837875366211,6.3984375,7.39013671875,5.4413076535405015e-06,5e-06,True
40,0.42291787157638805,0.4785368477646131,8.173545837402344,8.98492431640625,6.49609375,7.2890625,8.173545837402344,8.98492431640625,6.49609375,7.2890625,8.173545837402344,8.98492431640625,6.49609375,7.2890625,5e-06,5.4413076535405015e-06,True
