epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,epoch_time_seconds,total_elapsed_seconds,best_updated,record_type,is_best_epoch,selection_metric,best_val_loss,best_val_mae,best_val_mad,test_loss,test_mae,test_mad
1,0.7837704819661198,1.1854836941287863,32.53275680541992,49.20707321166992,26.748336791992188,43.638916015625,32.53275680541992,49.20707321166992,26.748336791992188,43.638916015625,32.53275680541992,49.20707321166992,26.748336791992188,43.638916015625,0.0001,0.0001,True,130.80102361299942,131.86779460600155,True,epoch,False,mae,,,,,,
2,0.7548308602080191,0.734972934459361,31.331531524658203,30.50727081298828,25.41242218017578,26.31817626953125,31.331531524658203,30.50727081298828,25.41242218017578,26.31817626953125,31.331531524658203,30.50727081298828,25.41242218017578,26.31817626953125,0.0001,0.0001,True,128.28787171699878,260.15758918999927,True,epoch,False,mae,,,,,,
3,0.7114356002983901,0.7173350914727589,29.530282974243164,29.77515411376953,24.026901245117188,25.056686401367188,29.530282974243164,29.77515411376953,24.026901245117188,25.056686401367188,29.530282974243164,29.77515411376953,24.026901245117188,25.056686401367188,0.0001,0.0001,True,135.02798914399682,395.1880083670003,True,epoch,False,mae,,,,,,
4,0.6412842544109482,0.5805655788436929,26.618438720703125,24.098127365112305,21.89300537109375,20.578018188476562,26.618438720703125,24.098127365112305,21.89300537109375,20.578018188476562,26.618438720703125,24.098127365112305,21.89300537109375,20.578018188476562,0.0001,0.0001,True,137.09922387099869,532.3405268579991,True,epoch,False,mae,,,,,,
5,0.5840139261600729,0.5847009348292505,24.24125862121582,24.269777297973633,19.1649169921875,19.647430419921875,24.24125862121582,24.269777297973633,19.1649169921875,19.647430419921875,24.24125862121582,24.269777297973633,19.1649169921875,19.647430419921875,0.0001,0.0001,True,135.268743523,667.656256418999,False,epoch,False,mae,,,,,,
6,0.540107526065569,0.7377811430275524,22.418792724609375,30.623830795288086,17.694549560546875,25.5572509765625,22.418792724609375,30.623830795288086,17.694549560546875,25.5572509765625,22.418792724609375,30.623830795288086,17.694549560546875,25.5572509765625,0.0001,0.0001,True,135.87194733700017,803.5387741209997,False,epoch,False,mae,,,,,,
7,0.4960380165309034,0.5578184117880476,20.58955192565918,23.153932571411133,16.696609497070312,19.15050506591797,20.58955192565918,23.153932571411133,16.696609497070312,19.15050506591797,20.58955192565918,23.153932571411133,16.696609497070312,19.15050506591797,0.0001,0.0001,True,135.8307605230002,939.3810057869996,True,epoch,False,mae,,,,,,
8,0.44717708597459377,0.7299516139784501,18.561433792114258,30.29884147644043,14.724494934082031,28.53814697265625,18.561433792114258,30.29884147644043,14.724494934082031,28.53814697265625,18.561433792114258,30.29884147644043,14.724494934082031,28.53814697265625,0.0001,0.0001,True,137.84469017200172,1077.2291430110017,False,epoch,False,mae,,,,,,
9,0.4092321026696466,0.4304394356300336,16.986412048339844,17.86668586730957,13.689529418945312,13.48699951171875,16.986412048339844,17.86668586730957,13.689529418945312,13.48699951171875,16.986412048339844,17.86668586730957,13.689529418945312,13.48699951171875,0.0001,0.0001,True,135.66799828000148,1212.9069638930014,True,epoch,False,mae,,,,,,
10,0.39291660667572964,0.3920359784870462,16.309188842773438,16.272634506225586,12.933944702148438,12.291854858398438,16.309188842773438,16.272634506225586,12.933944702148438,12.291854858398438,16.309188842773438,16.272634506225586,12.933944702148438,12.291854858398438,0.0001,0.0001,True,136.5217655660017,1349.435228229002,True,epoch,False,mae,,,,,,
11,0.37165739478319854,0.41100395221634134,15.42676067352295,17.059959411621094,12.709869384765625,13.021438598632812,15.42676067352295,17.059959411621094,12.709869384765625,13.021438598632812,15.42676067352295,17.059959411621094,12.709869384765625,13.021438598632812,0.0001,0.0001,True,137.09165740599929,1486.5325469939999,False,epoch,False,mae,,,,,,
12,0.35378741715432427,0.3309084224876481,14.685012817382812,13.735352516174316,11.769638061523438,10.847824096679688,14.685012817382812,13.735352516174316,11.769638061523438,10.847824096679688,14.685012817382812,13.735352516174316,11.769638061523438,10.847824096679688,0.0001,0.0001,True,137.9241729059977,1624.4737947300018,True,epoch,False,mae,,,,,,
13,0.33724920083386195,0.6163816905748961,13.998544692993164,25.584781646728516,11.508102416992188,22.186050415039062,13.998544692993164,25.584781646728516,11.508102416992188,22.186050415039062,13.998544692993164,25.584781646728516,11.508102416992188,22.186050415039062,0.0001,0.0001,True,138.70054185599656,1763.1818867540023,False,epoch,False,mae,,,,,,
14,0.32401081879506716,0.42820733594923666,13.449047088623047,17.774036407470703,10.7672119140625,15.003654479980469,13.449047088623047,17.774036407470703,10.7672119140625,15.003654479980469,13.449047088623047,17.774036407470703,10.7672119140625,15.003654479980469,0.0001,0.0001,True,135.3230495630014,1898.517615093002,False,epoch,False,mae,,,,,,
