epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,epoch_time_seconds,total_elapsed_seconds,best_updated
1,0.5371679694920458,0.5612947188453621,9.758453369140625,10.076826095581055,7.65625,7.8359375,9.758453369140625,10.076826095581055,7.65625,7.8359375,9.758453369140625,10.076826095581055,7.65625,7.8359375,0.00011666666666666667,0.00018333333333333336,True,270.400153981,274.55350770999996,True
2,0.5271790442278294,0.5510045005763563,9.624190330505371,9.95845890045166,7.5390625,7.796875,9.624190330505371,9.95845890045166,7.5390625,7.796875,9.624190330505371,9.95845890045166,7.5390625,7.796875,0.00018333333333333336,0.00025,True,216.49981356300003,491.05507906099996,True
3,0.523066111458518,0.5504962806113137,9.57044792175293,9.946122169494629,7.50390625,7.842041015625,9.57044792175293,9.946122169494629,7.50390625,7.842041015625,9.57044792175293,9.946122169494629,7.50390625,7.842041015625,0.00025,0.00024997202599558773,True,214.88032375199998,705.9368613070001,True
4,0.5216087497468204,0.5488248301087388,9.551789283752441,9.924074172973633,7.5,7.806640625,9.551789283752441,9.924074172973633,7.5,7.806640625,9.551789283752441,9.924074172973633,7.5,7.806640625,0.00024997202599558773,0.0002498881167585945,True,216.45054634899998,922.388941786,True
5,0.5195920622277143,0.5497414017459287,9.524084091186523,9.92330265045166,7.466796875,7.967041015625,9.524084091186523,9.92330265045166,7.466796875,7.967041015625,9.524084091186523,9.92330265045166,7.466796875,7.967041015625,0.0002498881167585945,0.0002497483106119162,True,216.40169393099995,1138.792171206,False
6,0.5166171754976153,0.5485402884021882,9.48099422454834,9.919265747070312,7.359375,8.0185546875,9.48099422454834,9.919265747070312,7.359375,8.0185546875,9.48099422454834,9.919265747070312,7.359375,8.0185546875,0.0002497483106119162,0.0002495526714075978,True,217.65462261900007,1356.4541431789999,False
7,0.5153567639666814,0.5477701866944408,9.476049423217773,9.907690048217773,7.34375,8.1689453125,9.476049423217773,9.907690048217773,7.34375,8.1689453125,9.476049423217773,9.907690048217773,7.34375,8.1689453125,0.0002495526714075978,0.00024930128849767156,True,215.45250108300002,1571.9141894709999,True
8,0.5147639759301467,0.5476300744823118,9.448878288269043,9.911029815673828,7.3896484375,7.576416015625,9.448878288269043,9.911029815673828,7.3896484375,7.576416015625,9.448878288269043,9.911029815673828,7.3896484375,7.576416015625,0.00024930128849767156,0.00024899427669334764,True,215.67217220099997,1787.588036807,False
9,0.5136709452663217,0.5472031764863752,9.442102432250977,9.893054962158203,7.34375,7.8046875,9.442102432250977,9.893054962158203,7.34375,7.8046875,9.442102432250977,9.893054962158203,7.34375,7.8046875,0.00024899427669334764,0.00024863177621257823,True,225.44085404299994,2013.0351412999999,True
10,0.5115266128915882,0.5477075108639154,9.412393569946289,9.921730041503906,7.2880859375,7.751953125,9.412393569946289,9.921730041503906,7.2880859375,7.751953125,9.412393569946289,9.921730041503906,7.2880859375,7.751953125,0.00024863177621257823,0.00024821395261601716,True,221.70511142900023,2234.74201113,False
